spell name,new spell name,description,errata
Mordekainen's flaming butthole,Xanthous's flaming butthole,"You channel the lord of sulfur's everburning colon through your fingertips, incinerating all you touch","4d6 -> 5d6, missing blinded"
"Wall of thorns, wall of stone, wall of ice",,,"alargar 10 minutes(c) -> 30 minutes(c). if the spell reaches the end of the concentration duration, the wall remains as a nonmagical object"
fast friends,,,clear up if the target notices when the spell fails or not
tsunami,,,"the tsunami gains 1d10 damage, 60 height and length per level upcast"
unearthly chorus,,,borrar
encode thoughts,Chain of thought(el pensamiento tendría forma de una cadenita metálica),,add to esper spell list
infallible relay(UA),,,borrar. la mejor y mas sosa versión del efecto
Protection from poison,,,borrar
shapechange,,,borrar
snare,,,"borrar, convertir en trinket"
Wristpocket,Thieve's third hand,,alargar 1h>4h. no creo que necesite concentracion
Dream,,,"enlace roto, lleva a dream of the blue veil"
Protection from Ballistics (UA),,,borrar
Telekinesis,,,make grabbing a creature optional after pushing it
"Investiture of Flame, Ice, stone, wind",Animistic Comunion <- porque los vakis son espiritus animistas,,join the 4 versions into a single spell and make the caster choose which version they want when they learn it. it should help compress spell lists
Synchronicity (UA),Double Tempo,,"Añadir a lista esper. quitar el texto de que acaba antes si lo vuelves a tirar, es de concentracion"
Detect Poison and Disease,Perceive Pestilence,,rework del guasap
Contagion,Kiss of kalmora <- pero si queremos chutarle enfermedades de otros sitios? es buen nombre. ponerle nombre indirecto a nigredo para que sea mas generico de enfermedad? black caress,,usar formato tabla para las opciones. ver si puede ser de duracion indefinida
Aura of Life,,,pasar de la version 2014 a 2024
mind spike,"Psychic Harpoon<- este nombre me cuadra mas con raulothims psychic lance o como se llame, mind spike es como un pinchazo, igual psychic needle?",,alargar 1h > 4h (o 8h!) quitar concentracion?
Tether Essence,wound reflection,,"When upcasting choose an additional target per level, then order them. each saves against the spell in order. if they fail, they get connected to the next creature(if last fails it gets connected to the first). when a creature takes damage all creatures theyre connected to directly or indirectly take damage too. if one of the creatures dies or falls unconscious their direct connections break."
Produce flame,,,maybe inflicting burn is too much? anyways i think cantrips need some work. comparing them side by side and pruning overall.
